Date	Open Balances
13/8/2024	2,714
14/8/2024	2,626
15/8/2024	2,496
16/8/2024	2,441
17/8/2024	2,443
18/8/2024	2,615
19/8/2024	2,627
20/8/2024	2,797
21/8/2024	2,681
22/8/2024	2,777
23/8/2024	2,650
24/8/2024	2,648
25/8/2024	2,800
26/8/2024	2,750
27/8/2024	2,685
28/8/2024	2,588
29/8/2024	2,350
30/8/2024	2,097
31/8/2024	2,185
1/9/2024	2,376
2/9/2024	2,407
3/9/2024	2,294
4/9/2024	2,253
5/9/2024	2,061
6/9/2024	2,002
7/9/2024	1,994
8/9/2024	2,183
9/9/2024	2,184
10/9/2024	2,256
11/9/2024	2,153
12/9/2024	2,097
13/9/2024	1,962
14/9/2024	1,973
15/9/2024	2,164
16/9/2024	2,253
17/9/2024	2,135
18/9/2024	1,918
19/9/2024	1,902
20/9/2024	1,712
21/9/2024	1,715
22/9/2024	1,909
23/9/2024	2,018
24/9/2024	1,905
25/9/2024	1,844
26/9/2024	1,884
27/9/2024	1,831
28/9/2024	1,871
29/9/2024	1,991
30/9/2024	2,145
1/10/2024	2,102
2/10/2024	2,114
3/10/2024	2,083
4/10/2024	2,023
5/10/2024	2,060
6/10/2024	2,244
7/10/2024	2,312
8/10/2024	2,235
9/10/2024	2,281
10/10/2024	2,212
11/10/2024	2,262
12/10/2024	2,291
13/10/2024	2,427
14/10/2024	2,435
15/10/2024	2,542
16/10/2024	2,566
17/10/2024	2,584
18/10/2024	2,556
19/10/2024	2,590
20/10/2024	2,743
21/10/2024	2,772
22/10/2024	2,674
23/10/2024	2,599
24/10/2024	2,463
25/10/2024	2,431
26/10/2024	2,414
27/10/2024	2,414
28/10/2024	2,643
29/10/2024	2,651
30/10/2024	2,586
31/10/2024	2,597
1/11/2024	2,632
2/11/2024	2,632
3/11/2024	2,800
4/11/2024	2,819
5/11/2024	2,742
6/11/2024	2,691
7/11/2024	2,604
8/11/2024	2,523
9/11/2024	2,469
10/11/2024	2,613
11/11/2024	2,615
12/11/2024	2,682
13/11/2024	2,593
14/11/2024	2,511
15/11/2024	2,533
16/11/2024	2,533
17/11/2024	2,533
18/11/2024	2,717
19/11/2024	2,813
20/11/2024	2,764
21/11/2024	2,737
22/11/2024	2,562
23/11/2024	2,562
24/11/2024	2,562
25/11/2024	2,680
26/11/2024	2,709
27/11/2024	2,592
28/11/2024	2,504
29/11/2024	2,413
30/11/2024	2,413
1/12/2024	2,413
2/12/2024	2,475
3/12/2024	2,442
4/12/2024	2,303
5/12/2024	2,212
6/12/2024	2,184
7/12/2024	2,184
8/12/2024	2,184
9/12/2024	2,368
10/12/2024	2,357
11/12/2024	2,221
12/12/2024	2,242
13/12/2024	2,296
14/12/2024	2,369
15/12/2024	2,550
16/12/2024	2,594
17/12/2024	2,669
18/12/2024	2,884
19/12/2024	2,948
20/12/2024	2,884
21/12/2024	2,908
22/12/2024	3,074
23/12/2024	3,059
24/12/2024	3,135
25/12/2024	3,182
26/12/2024	3,167
27/12/2024	3,188
28/12/2024	3,264
29/12/2024	3,447
30/12/2024	3,427
31/12/2024	3,258
1/1/2025	3,301
2/1/2025	4,446
3/1/2025	4,609
4/1/2025	4,301
5/1/2025	4,325
6/1/2025	4,083
7/1/2025	4,393
8/1/2025	4,374
9/1/2025	4,285
10/1/2025	4,057
11/1/2025	4,016
12/1/2025	4,114
13/1/2025	3,933
14/1/2025	3,933
15/1/2025	3,838
16/1/2025	3,738
17/1/2025	3,693
18/1/2025	3,612
19/1/2025	3,753
20/1/2025	3,586
21/1/2025	3,629
22/1/2025	3,622
23/1/2025	3,393
24/1/2025	3,203
25/1/2025	3,043
26/1/2025	3,173
27/1/2025	2,973
28/1/2025	2,717
29/1/2025	2,876
30/1/2025	2,933
31/1/2025	2,614
1/2/2025	2,509
2/2/2025	2,623
3/2/2025	2,635
4/2/2025	2,630
5/2/2025	2,389
6/2/2025	2,277
7/2/2025	2,223
8/2/2025	2,213
9/2/2025	2,372
10/2/2025	2,425
11/2/2025	2,395
12/2/2025	2,248
13/2/2025	2,094
14/2/2025	2,020
15/2/2025	1,982
16/2/2025	2,110
17/2/2025	2,081
18/2/2025	1,993
19/2/2025	1,861
20/2/2025	1,756
21/2/2025	1,598
22/2/2025	1,505
23/2/2025	1,618
24/2/2025	1,679
25/2/2025	1,645
26/2/2025	1,581
27/2/2025	1,482
28/2/2025	1,521
1/3/2025	1,570
2/3/2025	1,747
3/3/2025	1,735
4/3/2025	1,708
5/3/2025	1,770
6/3/2025	1,754
7/3/2025	1,672
8/3/2025	1,699
9/3/2025	1,858
10/3/2025	1,854
11/3/2025	1,943
12/3/2025	1,911
13/3/2025	1,712
14/3/2025	1,661
15/3/2025	1,612
16/3/2025	1,771
17/3/2025	2,013
18/3/2025	1,820
19/3/2025	1,718
20/3/2025	1,608
21/3/2025	1,441
22/3/2025	1,453
23/3/2025	1,599
24/3/2025	1,595
25/3/2025	1,480
26/3/2025	1,331
27/3/2025	1,191
28/3/2025	1,164
29/3/2025	1,190
30/3/2025	1,402
31/3/2025	1,553
1/4/2025	1,635
2/4/2025	1,538
3/4/2025	1,497
4/4/2025	1,308
5/4/2025	1,267
6/4/2025	1,429
7/4/2025	1,419
8/4/2025	1,388
9/4/2025	1,289
10/4/2025	1,222
11/4/2025	1,089
12/4/2025	1,119
13/4/2025	1,246
14/4/2025	1,291
15/4/2025	1,283
16/4/2025	1,271
17/4/2025	1,238
18/4/2025	1,219
19/4/2025	1,323
20/4/2025	1,418
21/4/2025	1,400
22/4/2025	1,308
23/4/2025	1,267
24/4/2025	1,246
25/4/2025	1,168
26/4/2025	1,167
27/4/2025	1,300
28/4/2025	1,374
29/4/2025	1,378
30/4/2025	1,348
1/5/2025	1,427
2/5/2025	1,499
3/5/2025	1,564
4/5/2025	1,682
5/5/2025	1,646
6/5/2025	1,368
7/5/2025	1,366
8/5/2025	1,300
9/5/2025	1,225
10/5/2025	1,218
11/5/2025	1,325
12/5/2025	1,394
13/5/2025	1,483
14/5/2025	1,495
15/5/2025	1,463
16/5/2025	1,384
17/5/2025	1,384
18/5/2025	1,498
19/5/2025	1,521
20/5/2025	1,524
21/5/2025	1,395
22/5/2025	1,386
23/5/2025	1,249
24/5/2025	1,271
25/5/2025	1,388
26/5/2025	1,408
27/5/2025	1,346
28/5/2025	1,271
29/5/2025	1,296
30/5/2025	1,179
31/5/2025	1,221
1/6/2025	1,382
2/6/2025	1,425
3/6/2025	1,369
4/6/2025	1,323
5/6/2025	1,228
6/6/2025	1,174
7/6/2025	1,192
8/6/2025	1,315
9/6/2025	1,337
10/6/2025	1,269
11/6/2025	1,203
12/6/2025	1,116
13/6/2025	1,110
14/6/2025	1,136
15/6/2025	1,308
16/6/2025	1,359
17/6/2025	1,287
18/6/2025	1,217
19/6/2025	1,219
20/6/2025	1,124
21/6/2025	1,094
22/6/2025	1,222
23/6/2025	1,232
24/6/2025	1,173
25/6/2025	1,096
26/6/2025	1,050
27/6/2025	976
28/6/2025	1,003
29/6/2025	1,092
30/6/2025	1,127
1/7/2025	1,049
