		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
19/3/2023											3,288	1		225		256										
20/3/2023											3,394	509	100	571		633										
21/3/2023											3,420	574	100	599		633										
22/3/2023											3,312	582	100	541		633										
23/3/2023											3,168	480	100	497		633										
24/3/2023											3,115	512	100	482		633										
25/3/2023											3,288	16		189		256										
26/3/2023											3,477	0		189		256										
27/3/2023											3,260	531	100	539		633										
28/3/2023											3,246	489	100	579		633										
29/3/2023											3,220	504	100	513		633										
30/3/2023											3,086	507	100	441		633										
31/3/2023											2,703	381	100	439		633										
1/4/2023											2,761	4	100	220		248										
2/4/2023											2,977	2	100	204		248										
3/4/2023											2,993	509	100	508		613										
4/4/2023											3,140	580	100	506		613										
5/4/2023											2,992	488	100	535		613										
6/4/2023											3,117	448	100	522		613										
7/4/2023											3,191	0	100	228		248										
8/4/2023											3,419	0	100	170		248										
9/4/2023											3,589	10	100	164		248										
10/4/2023											3,692	648	100	560		613										
11/4/2023											3,637	726	100	490		613										
12/4/2023											3,191	563	100	534		613										
13/4/2023											3,021	553	100	500		613										
14/4/2023											2,870	578	100	480		613										
15/4/2023											2,772	0	100	231		248										
16/4/2023											3,003	2	100	208		248										
17/4/2023											3,137	524	100	525		613										
18/4/2023											3,039	564	100	515		613										
19/4/2023											2,903	547	100	493		613										
20/4/2023											2,711	570	100	479		613										
21/4/2023											2,480	486	100	392		613										
22/4/2023											2,386	9	100	165		248										
23/4/2023											2,542	1	100	181		248										
24/4/2023											2,603	467	100	456		613										
25/4/2023											2,532	498	100	519		613										
26/4/2023											2,479	454	100	511		613										
27/4/2023											2,457	442	100	434		613										
28/4/2023											2,341	460	100	433		613										
29/4/2023											2,314	9	100	195		248										
30/4/2023											2,500	1	100	127		248										
1/5/2023											2,484	0	100	216		216										
2/5/2023											2,700	495	100	516		561										
3/5/2023											2,698	501	100	484		561										
4/5/2023											2,464	415	100	441		561										
5/5/2023											2,516	412	100	464		561										
6/5/2023											2,568	9	100	216		216										
7/5/2023											2,754	1	100	187		216										
8/5/2023											2,831	513	100	517		561										
9/5/2023											2,736	445	100	493		561										
10/5/2023											2,688	492	100	500		561										
11/5/2023											2,481	462	100	466		561										
12/5/2023											2,332	525	100	445		561										
13/5/2023											2,252	10	100	215		216										
14/5/2023											2,457	1	100	184		216										
15/5/2023											2,494	506	100	485		561										
16/5/2023											2,345	487	100	443		561										
17/5/2023											2,107	458	100	462		561										
18/5/2023											1,923	451	100	428		561										
19/5/2023											1,795	346	100	406		561										
20/5/2023											1,855	0	100	210		216										
21/5/2023											2,065	0	100	276		216										
22/5/2023											2,280	447	100	501		561										
23/5/2023											2,250	445	100	468		561										
24/5/2023											2,105	410	100	491		561										
25/5/2023											2,131	410	100	480		561										
26/5/2023											2,007	450	100	435		561										
27/5/2023											1,992	11	100	197		216										
28/5/2023											2,189	6	100	205		216										
29/5/2023											2,277	406	100	511		561										
30/5/2023											2,230	491	100	466		561										
31/5/2023											2,052	402	100	490		561										
1/6/2023											1,995	359	100	415		505										
2/6/2023											2,051	0	100	242		505										
3/6/2023											2,293	0	100	195		184										
4/6/2023											2,494	1	100	201		184										
5/6/2023											2,615	418	100	487		505										
6/6/2023											2,601	371	100	522		505										
7/6/2023											2,713	403	100	525		505										
8/6/2023											2,675	428	100	464		505										
9/6/2023											2,577	568	100	397		505										
10/6/2023											2,406	0	100	221		184										
11/6/2023											2,627	0	100	201		184										
12/6/2023											2,666	452	100	469		505										
13/6/2023											2,511	416	100	456		505										
14/6/2023											2,355	448	100	424		505										
15/6/2023											2,180	437	100	469		505										
16/6/2023											2,109	442	100	445		505										
17/6/2023											2,112	2	100	205		184										
18/6/2023											2,315	0	100	183		184										
19/6/2023											2,376	352	100	484		505										
20/6/2023											2,376	340	100	427		505										
21/6/2023											2,266	433	100	385		505										
22/6/2023											2,137	339	100	420		505										
23/6/2023											2,083	441	100	383		505										
24/6/2023											2,025	0	100	233		184										
25/6/2023											2,258	0	100	171		184										
26/6/2023											2,249	464	100	435		505										
27/6/2023											2,165	392	100	387		505										
28/6/2023											2,105	428	100	408		505										
29/6/2023											2,085	0	100	253		184										
30/6/2023											2,186	359	100	358		505										
1/7/2023											2,185	0	100	188		175										
2/7/2023											2,373	0	100	162		175										
3/7/2023											2,391	427	100	477		494										
4/7/2023											2,423	404	100	486		494										
5/7/2023											2,423	338	100	471		494										
6/7/2023											2,455	403	100	503		494										
7/7/2023											2,481	425	100	507		494										
8/7/2023											2,563	0	100	225		175										
9/7/2023											2,788	0	100	230		175										
10/7/2023											2,887	457	100	524		494										
11/7/2023											2,852	382	100	479		494										
12/7/2023											2,766	447	100	428		494										
13/7/2023											2,647	456	100	456		494										
14/7/2023											2,555	501	100	413		494										
15/7/2023											2,467	5	100	239		175										
16/7/2023											2,701	11	100	219		175										
17/7/2023											2,735	392	100	448		494										
18/7/2023											2,571	470	100	434		494										
19/7/2023											2,372	472	100	408		494										
20/7/2023											2,196	405	100	408		494										
21/7/2023											2,022	374	100	322		494										
22/7/2023											1,970	0	100	195		175										
23/7/2023											2,165	0	100	163		175										
24/7/2023											2,269	350	100	378		494										
25/7/2023											2,107	391	100	423		494										
26/7/2023											2,017	386	100	446		494										
27/7/2023											1,951	358	100	403		494										
28/7/2023											1,855	378	100	443		494										
29/7/2023											1,920	1	100	194		175										
30/7/2023											2,113	2	100	184		175										
31/7/2023											2,191	312	100	400		494										
1/8/2023											2,158	370	100	433		466										
2/8/2023											2,088	378	100	391		466										
3/8/2023											1,964	386	100	374		466										
4/8/2023											1,837	450	100	367		466										
5/8/2023											1,754	1	100	184		175										
6/8/2023											1,937	0	100	185		175										
7/8/2023											2,028	378	100	394		466										
8/8/2023											1,835	412	100	449		466										
9/8/2023											1,872	2	100	264		466										
10/8/2023											2,034	344	100	433		466										
11/8/2023											1,996	296	100	356		466										
12/8/2023											2,056	1	100	191		175										
13/8/2023											2,246	0	100	214		175										
14/8/2023											2,315	418	100	451		466										
15/8/2023											2,182	451	100	405		466										
16/8/2023											2,025	471	100	405		466										
17/8/2023											1,869	389	100	458		466										
18/8/2023											1,808	414	100	356		466										
19/8/2023											1,750	3	100	193		175										
20/8/2023											1,919		100	172		175										
21/8/2023											2,051	450	100	494		466										
22/8/2023											2,024	434	100	438		466										
23/8/2023											1,912	367	100	418		466										
24/8/2023											1,847	335	100	392		466										
25/8/2023											1,834	383	100	345		466										
26/8/2023											1,796	0	100	176		175										
27/8/2023											1,972	0	100	189		175										
28/8/2023											1,992	374	100	427		466										
29/8/2023											1,887	379	100	397		466										
30/8/2023											1,791	371	100	345		466										
31/8/2023											1,647	372	100	297		466										
1/9/2023											1,572	0	100	192		494										
2/9/2023											1,714	2	100	144		148										
3/9/2023											1,856	0	100	142		148										
4/9/2023											1,868	332	100	408		494										
5/9/2023											1,908	377	100	429		494										
6/9/2023											1,768	397	100	442		494										
7/9/2023											1,692	357	100	441		494										
8/9/2023											1,723	334	100	353		494										
9/9/2023											1,742	0	100	184		148										
10/9/2023											1,926	0	100	169		148										
11/9/2023											1,977	432	100	416		494										
12/9/2023											1,775	359	100	397		494										
13/9/2023											1,719	409	100	373		494										
14/9/2023											1,579	471	100	396		494										
15/9/2023											1,389	294	100	338		494										
16/9/2023											1,306	0	100	211		148										
17/9/2023											1,475	2	100	171		148										
18/9/2023											1,733	438	100	476		494										
19/9/2023											1,595	409	100	426		494										
20/9/2023											1,540	306	100	428		494										
21/9/2023											1,553	297	100	452		494										
22/9/2023											1,577	323	100	345		494										
23/9/2023											1,072	0	100	182		148										
24/9/2023											1,228	2	100	158		148										
25/9/2023											1,783	370	100	388		494										
26/9/2023											1,718	390	100	417		494										
27/9/2023											1,626	369	100	358		494										
